action_type|native|asian|black|islander|white|no_info|NA|year
1|140056|615750|1124835|91750|10934368|1957773|175044|2004
2|26445|104673|245225|16263|1452744|506430|35101|2004
3|86952|158821|768290|38793|3404770|1546070|36248|2004
4|39364|98713|310730|25007|1969340|1148152|27660|2004
5|10482|28601|90611|5250|571880|348372|10053|2004
6|18237|109477|185950|17072|1803340|339409|2668326|2004
7|2664|7107|25364|1244|103604|30827|410|2004
8|3884|10101|13035|952|111087|27014|754|2004
1|134501|632885|1294412|99835|11530293|1855763|90607|2005
2|24169|108135|255840|17915|1484225|473689|3359|2005
3|86641|195822|921086|45584|3918036|1525795|3934|2005
4|58794|117950|418745|26779|2384891|1280282|7897|2005
5|9840|31847|99027|5910|630546|416815|873|2005
6|21155|134947|223789|19442|2263578|361238|2843363|2005
7|3732|10070|35091|2099|138988|41310|56|2005
8|4174|11581|15287|1211|110547|22812|44|2005
1|105418|541865|1275624|85638|10287480|1625817|89420|2006
2|22935|108878|261533|18463|1528098|468596|2691|2006
3|86902|197134|996446|47419|3922039|1322602|4022|2006
4|31917|102042|397554|21721|1963253|1043598|4083|2006
5|7070|26424|99168|5122|514387|291778|737|2006
6|16359|99706|211761|29813|1756010|405270|3717433|2006
7|4394|9881|38133|2260|140217|27190|22|2006
8|2435|14425|16716|1521|127338|26540|62|2006
1|71680|396350|816664|53650|7869520|1173267|98976|2007
2|17738|89126|187347|12855|1290958|321546|2436|2007
3|89974|182334|887872|44060|3694287|1058944|5452|2007
4|24102|71557|243408|13389|1392665|587273|3350|2007
5|5351|22075|79081|3641|438720|197476|655|2007
6|14957|106802|200291|13831|1996443|289447|2199659|2007
7|4022|11472|40742|2490|150636|26051|19|2007
8|2133|17047|16536|1582|131424|28721|8|2007
1|42636|278327|440845|31198|5622132|711047|108022|2008
2|8838|55168|86842|6030|795424|164252|3653|2008
3|59868|130453|528658|26518|2647960|589730|7070|2008
4|14804|61554|135618|7631|1051143|277113|3196|2008
5|3516|20098|43605|2230|279271|75338|626|2008
6|9339|68199|142069|8544|1321915|194664|1189977|2008
7|2588|11953|25811|1607|114147|20755|21|2008
8|778|7790|6695|680|67329|15960|5|2008
1|43408|406455|385233|31697|7165724|860028|81079|2009
2|5541|50161|51419|3923|632604|112262|1924|2009
3|29372|121957|292498|15856|2125442|469288|4950|2009
4|15298|75183|108606|6811|1210259|299884|2381|2009
5|3585|22779|36276|2085|299275|83012|351|2009
6|10418|88303|145650|9189|1838353|179677|2029431|2009
7|2093|13074|20187|1178|97675|21245|8|2009
8|344|4616|3441|238|43429|9333|4|2009
1|36541|431634|323734|25718|6468042|782647|70806|2010
2|4473|40923|37864|2639|518487|90610|1762|2010
3|22896|115031|227445|11416|1838816|392254|4091|2010
4|12122|69836|85046|5424|1023643|258709|2141|2010
5|2331|23305|22467|1619|287017|109094|317|2010
6|9460|99705|124988|8146|1677075|155985|1155669|2010
7|1448|4631|16867|771|72953|20602|6|2010
8|283|3517|3022|222|36064|9661|5|2010
1|32940|388014|289925|22557|5636410|670540|82099|2011
2|4316|38780|35849|2220|456698|75041|2298|2011
3|20746|109073|211911|10917|1673395|354653|5186|2011
4|6358|61405|72480|4529|877203|214821|2720|2011
5|2447|23978|21101|1627|264372|105411|310|2011
6|7580|77527|92405|6801|1278972|110649|1365503|2011
7|1323|5328|17594|836|81693|23231|4|2011
8|319|4458|3113|286|36799|9687|8|2011
1|43927|567936|393222|32251|7772348|917378|100892|2012
2|4976|43407|41257|2687|522928|97369|3167|2012
3|24417|135358|243808|12834|1939995|413235|6700|2012
4|7581|75863|82595|5642|1070846|269278|3637|2012
5|3226|32285|30165|2488|358007|113135|481|2012
6|7220|100156|84968|6487|1447676|126670|1389880|2012
7|1669|6523|20173|960|93765|26167|11|2012
8|425|6168|3915|375|41044|12480|8|2012
1|45384|475311|408905|31178|6844061|826890|112658|2013
2|5342|38807|43460|2643|468443|83343|3646|2013
3|26495|126512|261234|13210|1853423|400718|7138|2013
4|8419|70663|84637|5863|999252|229166|4499|2013
5|3753|32439|37464|2717|362048|113424|638|2013
6|6167|71698|79496|5143|1142067|93642|1389692|2013
7|1413|5348|17194|953|77406|20208|3|2013
8|436|7358|4562|345|42949|13464|10|2013
1|36771|317827|317104|22686|4630440|544787|110151|2014
2|4041|21822|32900|1749|303272|51237|3718|2014
3|24770|89086|233384|10938|1381813|295695|6791|2014
4|8361|59756|79890|5007|793463|157345|4545|2014
5|3317|21801|30786|1948|252740|72642|675|2014
6|4248|26498|42709|2425|467079|37596|1171461|2014
7|1396|5407|18322|908|77794|21956|3|2014
8|451|5149|5074|359|39876|13489|6|2014
1|43439|404243|393563|28257|5693135|709257|132364|2015
2|3041|24252|29626|1764|295971|46074|4027|2015
3|27117|103566|259676|12425|1527010|336023|9096|2015
4|12133|80879|109563|7018|1052569|204933|8123|2015
5|5883|27280|50080|2633|358153|90468|842|2015
6|3735|30896|42106|2510|506846|41389|1474554|2015
7|1391|5092|17986|766|70462|18609|12|2015
8|546|4035|6402|475|41731|10131|27|2015
1|50943|485915|466894|34758|6325591|870431|143375|2016
2|3454|25745|33350|1917|314300|52704|4604|2016
3|34549|124739|306951|15608|1777602|414473|9256|2016
4|15330|101670|134757|9377|1228253|251471|7497|2016
5|7985|35647|66438|3764|446323|119086|1045|2016
6|4102|47609|41949|3206|610580|56601|1467943|2016
7|1592|5076|21386|871|69336|17212|11|2016
8|511|4044|6420|425|39827|8349|135|2016
