concat|lender_rows|first_lien_high|junior_lien_high|high_priced_pct|year
50000022637|103|103|0|100.00000000000000000000|2004
50000068239|257|0|133|51.75097276264591439700|2004
77059200001|229|220|0|96.06986899563318777300|2004
77987800001|482|480|0|99.58506224066390041500|2004
50000019269|161|0|119|73.91304347826086956500|2005
70828200015|357|357|0|100.00000000000000000000|2005
77059200001|115|115|0|100.00000000000000000000|2005
50000061337|153|0|111|72.54901960784313725500|2006
50000068227|187|0|98|52.40641711229946524100|2006
70828200015|261|247|0|94.63601532567049808400|2006
50000067804|517|0|294|56.86653771760154738900|2008
50000060847|171|133|0|77.77777777777777777800|2009
50000066555|182|139|0|76.37362637362637362600|2009
77674000006|1687|1420|0|84.17308832246591582700|2011
50000066327|180|94|0|52.22222222222222222200|2013
50000066327|198|103|0|52.02020202020202020200|2014
50000066327|258|139|0|53.87596899224806201600|2015
10000708028|1857|1576|0|84.86806677436725902000|2016
