arid|lender_rows|na_income_count|na_pct|year
774-2832600|93|93|100.00000000000000000000|2004
765-0367752|257|257|100.00000000000000000000|2004
77343000001|3397|3395|99.94112452163673829800|2004
71665100001|1532|1412|92.16710182767624020900|2004
77935900009|1199|971|80.98415346121768140100|2004
77635500004|902|703|77.93791574279379157400|2004
71597600006|668|503|75.29940119760479041900|2004
20000197478|155|103|66.45161290322580645200|2004
71201600007|682|447|65.54252199413489736100|2004
313-3432069|1799|1179|65.53640911617565314100|2004
77778300008|119|75|63.02521008403361344500|2004
77466800000|315|187|59.36507936507936507900|2004
71062300002|239|138|57.74058577405857740600|2004
77652800004|594|307|51.68350168350168350200|2004
765-0367752|243|243|100.00000000000000000000|2005
77428000003|409|409|100.00000000000000000000|2005
77951500006|671|656|97.76453055141579731700|2005
71665100001|1491|1396|93.62843729040912139500|2005
71045600000|2486|2253|90.62751407884151247000|2005
77935900009|1044|926|88.69731800766283524900|2005
40000017941|78|69|88.46153846153846153800|2005
77343000001|3230|2254|69.78328173374613003100|2005
20003039300|214|147|68.69158878504672897200|2005
77806400002|1270|773|60.86614173228346456700|2005
77778300008|95|57|60.00000000000000000000|2005
313-3432069|939|561|59.74440894568690095800|2005
20000197478|117|69|58.97435897435897435900|2005
30000009521|53|30|56.60377358490566037700|2005
77466800000|166|92|55.42168674698795180700|2005
765-0367752|65|65|100.00000000000000000000|2006
77935900009|633|580|91.62717219589257503900|2006
71665100001|1194|1063|89.02847571189279732000|2006
313-3432069|479|338|70.56367432150313152400|2006
794-3123360|1543|1054|68.30848995463383020100|2006
768-0264176|1308|872|66.66666666666666666700|2006
593-0730212|286|184|64.33566433566433566400|2006
77951500006|327|201|61.46788990825688073400|2006
795-4863319|96|58|60.41666666666666666700|2006
20000197478|116|67|57.75862068965517241400|2006
77307600002|625|355|56.80000000000000000000|2006
70215170000|94|53|56.38297872340425531900|2006
343-1973444|660|371|56.21212121212121212100|2006
20000147174|50|28|56.00000000000000000000|2006
77778300008|71|39|54.92957746478873239400|2006
71062300002|199|103|51.75879396984924623100|2006
720-1415601|65|65|100.00000000000000000000|2007
765-0367752|81|81|100.00000000000000000000|2007
313-3432069|473|389|82.24101479915433403800|2007
77935900009|147|116|78.91156462585034013600|2007
777-0463885|62|35|56.45161290322580645200|2007
313-3432069|564|518|91.84397163120567375900|2008
77806400002|561|455|81.10516934046345811100|2008
72467100004|880|558|63.40909090909090909100|2008
426-4237382|81|81|100.00000000000000000000|2009
795-4578022|102|89|87.25490196078431372500|2009
313-3432069|393|203|51.65394402035623409700|2009
426-4237382|72|72|100.00000000000000000000|2010
720-0142846|75|67|89.33333333333333333300|2010
20000197478|553|494|89.33092224231464737800|2010
313-3432069|353|213|60.33994334277620396600|2010
20002182786|70|38|54.28571428571428571400|2010
90000197478|1246|1233|98.95666131621187801000|2011
10000024716|68|67|98.52941176470588235300|2011
720-8009003|158|104|65.82278481012658227800|2011
90002182786|70|36|51.42857142857142857100|2011
720-0304793|62|62|100.00000000000000000000|2012
90000197478|1314|1313|99.92389649923896499200|2012
10000024716|88|87|98.86363636363636363600|2012
720-8009003|541|437|80.77634011090573012900|2012
30000058181|285|285|100.00000000000000000000|2013
720-0304793|54|54|100.00000000000000000000|2013
720-1832276|56|56|100.00000000000000000000|2013
777-0672274|74|74|100.00000000000000000000|2013
90000197478|2546|2543|99.88216810683424980400|2013
720-8009003|185|156|84.32432432432432432400|2013
720-0142846|145|101|69.65517241379310344800|2013
50000062005|114|73|64.03508771929824561400|2013
720-0304793|83|83|100.00000000000000000000|2014
720-1832276|137|137|100.00000000000000000000|2014
777-0672274|457|457|100.00000000000000000000|2014
90000197478|1203|1131|94.01496259351620947600|2014
780-0860209|52|40|76.92307692307692307700|2014
720-0304793|103|103|100.00000000000000000000|2015
720-1832276|51|51|100.00000000000000000000|2015
90000197478|797|768|96.36135508155583437900|2015
777-0672274|292|190|65.06849315068493150700|2015
720-0304793|91|91|100.00000000000000000000|2016
90000197478|529|477|90.17013232514177693800|2016
