arid|eth_rows|app_eth|lender_rows|year
795-4537645|286|4|286|2004
77428000003|692|3|692|2004
77086400004|10403|3|10403|2004
766-0559119|365|1|365|2004
758-2509828|2354|2|2354|2004
71841100007|272|3|272|2004
70330756645|1099|3|1099|2004
50000008486|588|3|588|2004
79900000375|447|2|447|2005
795-4607423|2657|3|2657|2005
795-4537645|312|4|312|2005
77428000003|512|3|512|2005
77339400008|370|2|370|2005
77307200009|1269|3|1269|2005
765-1113581|307|3|307|2005
720-1979809|453|3|453|2005
50000024665|255|2|255|2005
40000005304|282|2|282|2005
30000030470|318|2|318|2005
30000000059|250|2|250|2005
20003317295|386|4|386|2005
20000734613|308|2|308|2005
79900000375|277|2|277|2006
795-4537645|302|4|302|2006
77248700009|645|1|645|2006
766-0188856|573|1|573|2006
765-1113581|345|3|345|2006
71813200006|3960|2|3960|2006
50000062728|257|2|257|2006
50000008486|393|3|393|2006
50000006778|251|2|251|2006
50000005086|254|2|254|2006
30000030470|268|2|268|2006
30000016022|366|4|366|2006
30000008250|264|2|264|2006
20003317295|257|4|257|2006
20003032936|645|1|645|2006
20000858528|483|2|483|2006
79900000375|275|2|275|2007
765-1113581|477|4|477|2007
73833709994|1517|2|1517|2007
713-3403204|546|4|546|2007
50000066865|493|2|493|2007
50000024665|324|2|324|2007
40000002808|470|2|470|2007
40000002190|726|2|726|2007
30000034311|289|2|289|2007
20003317295|280|4|280|2007
20003267484|454|4|454|2007
20000858528|351|2|351|2007
20000491822|322|2|322|2007
131-1712553|407|4|407|2007
10000014510|346|2|346|2007
10000014479|279|2|279|2007
10000007225|305|2|305|2007
77248700009|1175|1|1175|2008
73833709994|1812|2|1812|2008
50000060823|301|2|301|2008
50000024464|253|2|253|2008
40000002808|575|2|575|2008
30000010534|371|2|371|2008
30000005649|2570|3|2570|2008
30000000059|304|2|304|2008
20003317295|321|4|321|2008
20000491822|328|2|328|2008
131-1712553|387|4|387|2008
10000007225|269|2|269|2008
766-0690568|259|1|259|2009
50000061758|287|2|287|2009
50000060884|278|2|278|2009
50000006778|316|2|316|2009
40000005337|474|2|474|2009
30000030121|411|2|411|2009
30000015632|270|2|270|2009
30000008693|373|2|373|2009
30000005649|2376|3|2376|2009
20003317295|251|4|251|2009
20000491822|375|2|375|2009
77248700009|781|1|781|2010
71125900008|1528|1|1528|2010
50000067012|264|2|264|2010
50000061758|323|2|323|2010
40000004652|300|2|300|2010
40000004246|369|2|369|2010
366-0422347|859|1|859|2010
30000015632|265|2|265|2010
30000011699|348|2|348|2010
30000008693|316|2|316|2010
966-0436232|295|1|295|2011
920-1511553|258|4|258|2011
79900000375|452|2|452|2011
77409900001|268|2|268|2011
733-0914481|473|3|473|2011
71125900008|1762|1|1762|2011
50000066430|322|2|322|2011
50000013345|506|2|506|2011
50000009508|353|2|353|2011
338-3550157|289|2|289|2011
30000016636|362|2|362|2011
10000713138|273|2|273|2011
10000024136|275|2|275|2011
780-0312140|827|4|827|2012
77020900006|251|2|251|2012
74264609991|308|2|308|2012
727-0812934|294|4|294|2012
713-3602661|433|4|433|2012
30000015632|296|2|296|2012
780-0312140|704|4|704|2013
766-0690568|273|1|273|2013
727-0812934|323|4|323|2013
713-3602661|278|4|278|2013
50000024632|265|2|265|2013
50000006778|386|2|386|2013
50000003576|301|2|301|2013
30000029690|304|2|304|2013
10000008868|282|2|282|2013
780-0312140|733|4|733|2014
727-0812934|295|4|295|2014
50000068587|251|2|251|2014
50000062160|349|2|349|2014
50000003576|274|2|274|2014
20000027614|492|2|492|2014
780-0312140|977|4|977|2015
766-0736233|314|1|314|2015
766-0674421|368|1|368|2015
745-3508295|328|4|328|2015
735-2486440|6970|4|6970|2015
50000068587|279|2|279|2015
50000003576|250|2|250|2015
10000702190|789|2|789|2015
780-0312140|785|4|785|2016
766-0736233|501|1|501|2016
745-3508295|365|4|365|2016
727-2056826|1895|4|1895|2016
