arid|race_1|race_rows|lender_rows|year
795-4537645|7|286|286|2004
77428000003|6|692|692|2004
77307200009|6|2345|2345|2004
77086400004|6|10403|10403|2004
71841100007|6|272|272|2004
70330756645|6|1099|1099|2004
50000022592|5|640|640|2004
40000004947|5|381|381|2004
30000030119|5|262|262|2004
30000010317|5|296|296|2004
20000695349|5|259|259|2004
10000004039|5|374|374|2004
795-4607423|6|2657|2657|2005
795-4537645|7|312|312|2005
77428000003|6|512|512|2005
765-1113581|6|307|307|2005
50000008486|5|491|491|2005
40000004947|5|365|365|2005
20003317295|7|386|386|2005
10000016686|5|398|398|2005
795-4537645|7|302|302|2006
77756300009|6|4074|4074|2006
765-1113581|6|345|345|2006
752-1815063|6|965|965|2006
71557900001|6|60908|60908|2006
30000026397|5|286|286|2006
30000016022|7|366|366|2006
20003317295|7|257|257|2006
77756300009|6|6105|6105|2007
765-1113581|7|477|477|2007
713-3403204|7|546|546|2007
30000001705|5|299|299|2007
20003317295|7|280|280|2007
20003267484|7|454|454|2007
131-1712553|7|407|407|2007
10000007225|5|305|305|2007
77756300009|6|6634|6634|2008
50000066430|5|296|296|2008
50000005799|5|385|385|2008
30000005649|6|2570|2570|2008
20003317295|7|321|321|2008
131-1712553|7|387|387|2008
10000007225|5|269|269|2008
50000066710|5|319|319|2009
40000003069|5|968|968|2009
30000009631|5|338|338|2009
30000005649|6|2376|2376|2009
30000001808|5|299|299|2009
30000001705|5|355|355|2009
20003317295|7|251|251|2009
71125900008|5|1528|1528|2010
50000066529|5|250|250|2010
30000015632|5|265|265|2010
30000009631|5|350|350|2010
920-1511553|7|258|258|2011
766-0699600|5|261|261|2011
733-0914481|6|473|473|2011
71125900008|5|1762|1762|2011
10000713138|5|273|273|2011
780-0312140|7|827|827|2012
73833009998|3|4725|4725|2012
727-0812934|7|294|294|2012
720-1934942|6|41546|41546|2012
713-3602661|7|433|433|2012
50000003972|5|373|373|2012
780-0312140|7|704|704|2013
727-0812934|7|323|323|2013
713-3602661|7|278|278|2013
50000024802|5|356|356|2013
50000024632|5|265|265|2013
10000008868|5|282|282|2013
780-0312140|7|733|733|2014
727-0812934|7|295|295|2014
50000062160|5|349|349|2014
30000000893|5|410|410|2014
780-0312140|7|977|977|2015
745-3508295|7|328|328|2015
735-2486440|7|6970|6970|2015
780-0312140|7|785|785|2016
745-3508295|7|365|365|2016
727-2056826|7|1895|1895|2016
